"","k__Bacteria;p__Actinobacteria","k__Bacteria;p__Bacteroidetes","k__Bacteria;p__Firmicutes","k__Bacteria;p__Proteobacteria"
"Control29",0.048085286705176526,0.16234360015166047,0.7804045765773803,0.009166536565782724
"Control15",0.034100513620700865,0.1861712502438073,0.7597035303296275,0.02002470580586438
"Control28",0.043057481070704916,0.322864455582809,0.5999253492588248,0.034152714087661296
"Control3",0.22875756595666036,0.022039458485422537,0.7466617382063485,0.0025412373515686366
"Control27",0.05791751527494908,0.09432281059063137,0.8430753564154786,0.004684317718940937
"Control18",0.0957905062481341,0.065104277732759,0.832217341237685,0.00688787478142193
"Control5",0.08460777920356775,0.05597744914487662,0.8542819277615331,0.005132843890022509
"Control7",0.043695354020229726,0.08951225784330533,0.8553488770786902,0.01144351105777473
"Control26",0.1108172441153134,0.10160451379705546,0.784007758088689,0.003570483998942079
"Control4",0.05219785951223583,0.05628690046523272,0.8899088310767113,0.0016064089458202075
"Control9",0.04158856235107228,0.18560762509928513,0.764638602065131,0.008165210484511517
"Control19",0.09264253904534905,0.11378034247004955,0.7839386146480168,0.0096385038365845
"Control13",0.0448403720462544,0.26875942684766213,0.6803984414278532,0.006001759678230267
"Control16",0.016009148084619784,0.08393367638650658,0.8913093196112064,0.008747855917667238
"Control6",0.03175034843797804,0.061019138593330385,0.8992419349355815,0.007988578033110106
"Control22",0.024268096738518038,0.3559668635102143,0.611626984955032,0.008138054796235628
"Control11",0.01596712254934986,0.4608232837027555,0.47483662332412585,0.04837297042376878
"Control32",0.00031759895192345867,0.3648020961530827,0.6304339195680654,0.004446385326928421
"Control10",0.007445785375236559,0.47594080600626687,0.4766853845437905,0.039928024074706046
"Control17",0.03000534941399601,0.2283956621115596,0.73294266400817,0.008656324466274377
"Control20",0.03923980136445909,0.10022276883092773,0.8459414303615352,0.014595999443077923
"Control24",0.015161925701983417,0.3847281388850717,0.5746415647473776,0.025468370665567314
"Control31",0.08467354526087138,0.24171853460879736,0.6702034337273904,0.003404486402940808
"Control1",0.00854819172867278,0.640387610313203,0.3175982003806887,0.03346599757743554
"Control8",0.06064563309653155,0.07968554116172169,0.8427705808608441,0.016898244880902632
"ADHD5",0.005557061534291136,0.4653700189753321,0.4732989970181621,0.055773922472214695
"Control14",0.01713290641500955,0.40562858105830807,0.5045500505561172,0.07268846197056511
"Control30",0.004497695852534562,0.44925345622119817,0.5382857142857143,0.007963133640552995
"Control12",0.01726344452008169,0.459360108917631,0.4859360108917631,0.037440435670524165
"ADHD21",0.006200408609302988,0.3991305174134081,0.5762103862783294,0.01845868769895947
"ADHD4",0.012748333656895101,0.5864233482171747,0.39377467158480556,0.007053646541124701
"ADHD15",0.052942224031343015,0.0930368636629608,0.8461088355763604,0.007912076729335742
"Control2",0.013528449533577966,0.21439939873557629,0.7569963305185906,0.015075821212255184
"Control25",0.03911148601152819,0.21993532967805426,0.7312526360185576,0.009700548291859975
"ADHD20",0.0015216489140960022,0.7308064739244708,0.20006224927375849,0.06760962788767465
"ADHD23",0.00198765994451116,0.13205515756346017,0.8592488301793035,0.006708352312725164
"ADHD25",0.020080621080919677,0.26033890713645863,0.7118542848611525,0.007726186921469095
"ADHD27",0.00035344609946983085,0.4945720777581419,0.4388790709416814,0.0661954052007069
"ADHD17",0.06547099028727067,0.6240814019219898,0.2705174983298217,0.03993010946091783
"ADHD3",0.05380418308578357,0.24307365868444983,0.6832070324340709,0.019915125795695664
"ADHD12",0.01828721496284909,0.4418396105559826,0.5179028952088137,0.0219702792723546
"ADHD14",0.022102364877607212,0.17410327009391618,0.7992305661373665,0.004563798891110022
"ADHD13",0.0015376562193286658,0.5961525878427011,0.3876856638094615,0.0146240921285088
"ADHD28",0.02246881878209831,0.13357483492296404,0.8245597945707998,0.01939655172413793
"ADHD8",0.013228293381640477,0.4807684206091756,0.49197455449298566,0.01402873151619834
"ADHD16",0.008493262556145366,0.19196951136518306,0.7912889614808766,0.008248264597795018
"ADHD18",0.013701212997297468,0.25366098925271824,0.6640060335616869,0.0686317641882974
"ADHD19",0.07066638097278766,0.13591172059138634,0.7846368116563103,0.008785086779515748
"ADHD26",0.09650291806442719,0.08216534166628373,0.8177013923992463,0.003630347870042737
"ADHD7",0.12529148547299426,0.08829646435999244,0.7808449402323481,0.005567109934665238
"ADHD9",0.03946541539234991,0.09784657924504588,0.8579957266747664,0.004692278687837781
"ADHD6",0.06934538257589902,0.11124388513387355,0.8130998170207999,0.006310915269427536
"ADHD24",0.26810678310161246,0.044237619211766055,0.6839021027231988,0.003753494963422575
"ADHD29",0.011290504685559444,0.08757668134432275,0.8958262767679048,0.005306537202212939
"ADHD11",0.1715369450752377,0.17792528635240687,0.6475931425149103,0.0029446260574451624
"ADHD2",0.009623449432746215,0.04065686664018011,0.9497196839270736,0.0
"ADHD10",0.0020844442289980124,0.13081099423142178,0.8552523147026031,0.011852246836977071
"ADHD1",0.15547876538469743,0.06431176809368401,0.7754527420490177,0.004756724472600841
